Institution,Academic Discipline (if available),Enrollment Profile,Undergraduate Profile,Size and Setting,Scholarship Awarded,LACN/IVY/OTHER,Year (2005-2015)
Brown University,,MU: Majority undergraduate,"FT4/MS/LTI: Full-time four-year, more selective, lower transfer-in","M4/HR: Medium four-year, highly residential",Rhodes,IVY,2015
Brown University,,MU: Majority undergraduate,"FT4/MS/LTI: Full-time four-year, more selective, lower transfer-in","M4/HR: Medium four-year, highly residential",Rhodes,IVY,2015
Brown University,,MU: Majority undergraduate,"FT4/MS/LTI: Full-time four-year, more selective, lower transfer-in","M4/HR: Medium four-year, highly residential",Rhodes,IVY,2015
Dartmouth College,,MU: Majority undergraduate,"FT4/MS/LTI: Full-time four-year, more selective, lower transfer-in","M4/HR: Medium four-year, highly residential",Rhodes,IVY/LACN,2015
John Hopkins University,,MGP: Majority graduate/professional,"FT4/MS/LTI: Full-time four-year, more selective, lower transfer-in","L4/HR: Large four-year, highly residential",Rhodes,Other,2015
Princeton University,,MU: Majority undergraduate,"FT4/MS/LTI: Full-time four-year, more selective, lower transfer-in","M4/HR: Medium four-year, highly residential",Rhodes,IVY,2015
Princeton University,,MU: Majority undergraduate,"FT4/MS/LTI: Full-time four-year, more selective, lower transfer-in","M4/HR: Medium four-year, highly residential",Rhodes,IVY,2015
Princeton University,,MU: Majority undergraduate,"FT4/MS/LTI: Full-time four-year, more selective, lower transfer-in","M4/HR: Medium four-year, highly residential",Rhodes,IVY,2015
Stanford University,,MGP: Majority graduate/professional,"FT4/MS/LTI: Full-time four-year, more selective, lower transfer-in","L4/HR: Large four-year, highly residential",Rhodes,Other,2015
Stanford University,,MGP: Majority graduate/professional,"FT4/MS/LTI: Full-time four-year, more selective, lower transfer-in","L4/HR: Large four-year, highly residential",Rhodes,Other,2015
University of Alabama- Birmingham,,MU: Majority undergraduate,"MFT4/S/HTI: Medium full-time four-year, selective, higher transfer-in","L4/NR: Large four-year, primarily nonresidential",Rhodes,Other,2015
University of Michigan,,MU: Majority undergraduate,"FT4/MS/LTI: Full-time four-year, more selective, lower transfer-in","L4/R: Large four-year, primarily residential",Rhodes,Other,2015
University of Notre Dame,,MU: Majority undergraduate,"FT4/MS/LTI: Full-time four-year, more selective, lower transfer-in","L4/HR: Large four-year, highly residential",Rhodes,Other,2015
University of Tennessee- Chattanooga,,HU: High undergraduate,"FT4/S/HTI: Full-time four-year, selective, higher transfer-in","M4/R: Medium four-year, primarily residential",Rhodes,Other,2015
University of Wisconsin-Eau Claire,,VHU: Very high undergraduate,"FT4/MS/HTI: Full-time four-year, more selective, higher transfer-in","L4/R: Large four-year, primarily residential",Rhodes,Other,2015
Yale University,,MGP: Majority graduate/professional,"FT4/MS/LTI: Full-time four-year, more selective, lower transfer-in","L4/HR: Large four-year, highly residential",Rhodes,IVY,2015
Yale University,,MGP: Majority graduate/professional,"FT4/MS/LTI: Full-time four-year, more selective, lower transfer-in","L4/HR: Large four-year, highly residential",Rhodes,IVY,2015
Yale University,,MGP: Majority graduate/professional,"FT4/MS/LTI: Full-time four-year, more selective, lower transfer-in","L4/HR: Large four-year, highly residential",Rhodes,IVY,2015
Yale University,,MGP: Majority graduate/professional,"FT4/MS/LTI: Full-time four-year, more selective, lower transfer-in","L4/HR: Large four-year, highly residential",Rhodes,IVY,2015
Cornell University,,MU: Majority undergraduate,"FT4/MS/LTI: Full-time four-year, more selective, lower transfer-in","L4/HR: Large four-year, highly residential",Rhodes,IVY,2015
Harvard University,,MGP: Majority graduate/professional,"FT4/MS/LTI: Full-time four-year, more selective, lower transfer-in","L4/HR: Large four-year, highly residential",Rhodes,IVY,2015
Harvard University,,MGP: Majority graduate/professional,"FT4/MS/LTI: Full-time four-year, more selective, lower transfer-in","L4/HR: Large four-year, highly residential",Rhodes,IVY,2015
Massachusetts Institute of Technology,,MGP: Majority graduate/professional,"FT4/MS/LTI: Full-time four-year, more selective, lower transfer-in","L4/HR: Large four-year, highly residential",Rhodes,Other,2015
Massachusetts Institute of Technology,,MGP: Majority graduate/professional,"FT4/MS/LTI: Full-time four-year, more selective, lower transfer-in","L4/HR: Large four-year, highly residential",Rhodes,Other,2015
Massachusetts Institute of Technology,,MGP: Majority graduate/professional,"FT4/MS/LTI: Full-time four-year, more selective, lower transfer-in","L4/HR: Large four-year, highly residential",Rhodes,Other,2015
Santa Clara University,,MU: Majority undergraduate,"FT4/MS/LTI: Full-time four-year, more selective, lower transfer-in","M4/R: Medium four-year, primarily residential",Rhodes,Other,2015
U.S. Air Force Academy,,ExU4: Exclusively undergraduate four-year,"FT4/MS/LTI: Full-time four-year, more selective, lower transfer-in","M4/HR: Medium four-year, highly residential",Rhodes,Other,2015
University of Maryland-College Park,,HU: High undergraduate,"FT4/MS/HTI: Full-time four-year, more selective, higher transfer-in","L4/R: Large four-year, primarily residential",Rhodes,Other,2015
University of North Carolina,,MU: Majority undergraduate,"FT4/MS/LTI: Full-time four-year, more selective, lower transfer-in","L4/R: Large four-year, primarily residential",Rhodes,Other,2015
University of Puget Sound,,VHU: Very high undergraduate,"FT4/MS/LTI: Full-time four-year, more selective, lower transfer-in","S4/HR: Small four-year, highly residential",Rhodes,Other,2015
Universitof Texas-Austin,,HU: High undergraduate,"FT4/MS/HTI: Full-time four-year, more selective, higher transfer-in","L4/NR: Large four-year, primarily nonresidential",Rhodes,Other,2015
Carnegie Mellon,,MU: Majority undergraduate,"FT4/MS/LTI: Full-time four-year, more selective, lower transfer-in","L4/HR: Large four-year, highly residential",Rhodes,Other,2014
Harvard University,,MGP: Majority graduate/professional,"FT4/MS/LTI: Full-time four-year, more selective, lower transfer-in","L4/HR: Large four-year, highly residential",Rhodes,IVY,2014
Harvard University,,MGP: Majority graduate/professional,"FT4/MS/LTI: Full-time four-year, more selective, lower transfer-in","L4/HR: Large four-year, highly residential",Rhodes,IVY,2014
Harvard University,,MGP: Majority graduate/professional,"FT4/MS/LTI: Full-time four-year, more selective, lower transfer-in","L4/HR: Large four-year, highly residential",Rhodes,IVY,2014
Harvard University,,MGP: Majority graduate/professional,"FT4/MS/LTI: Full-time four-year, more selective, lower transfer-in","L4/HR: Large four-year, highly residential",Rhodes,IVY,2014
